id,stars
547,4
548,4
549,4
550,3
551,4
552,3
553,4
554,4
555,4
556,4
557,4
558,4
559,4
560,4
561,4
562,3
563,4
564,4
565,4
566,4
567,1
568,3
569,4
570,4
571,4
572,3
573,3
574,4
575,4
576,3
577,3
578,4
579,3
580,1
581,4
582,3
583,4
584,4
585,1
586,4
587,4
588,4
589,4
590,3
591,4
592,4
593,4
594,4
595,4
596,4
597,4
598,4
599,4
600,4
601,4
602,4
603,4
604,4
605,4
606,4
607,3
608,4
609,4
610,4
611,4
612,4
613,4
614,4
615,4
616,4
617,4
618,3
619,4
620,3
621,4
622,4
623,4
624,3
625,4
626,4
627,4
628,4
629,4
630,0
631,4
632,4
633,4
634,4
635,4
636,4
637,4
638,4
639,3
640,4
641,4
642,4
643,4
644,4
645,3
646,4
647,4
648,3
649,3
650,4
651,0
652,4
653,4
654,4
655,3
656,4
657,4
658,4
659,4
660,3
661,4
662,3
663,4
664,4
665,4
666,4
667,4
668,3
669,4
670,4
671,4
672,3
673,4
674,4
675,3
676,4
677,4
678,4
679,3
680,3
681,4
682,2
683,4
684,4
685,3
686,4
687,4
688,3
689,4
690,3
691,3
692,4
693,3
694,4
695,3
696,3
697,4
698,4
699,4
700,3
701,4
702,3
703,1
704,3
705,3
706,3
707,4
708,4
709,3
710,4
711,4
712,4
713,4
714,4
715,4
716,4
717,4
718,3
719,0
720,3
721,4
722,4
723,2
724,4
725,3
726,4
727,4
728,4
729,0
730,4
731,0
732,4
733,3
734,4
735,4
736,4
737,4
738,4
739,2
740,4
741,4
742,4
743,3
744,4
745,4
746,0
747,3
748,4
749,3
750,4
751,4
752,4
753,3
754,3
755,4
756,3
757,4
758,4
759,4
760,4
761,4
762,4
763,4
764,4
765,4
766,4
767,4
768,3
769,4
770,4
771,4
772,4
773,4
774,4
775,4
776,4
777,1
778,3
779,4
780,3
781,4
782,4
783,3
784,3
785,3
786,4
787,4
788,3
789,0
790,4
791,4
792,4
793,4
794,1
795,4
796,4
797,0
798,4
799,4
